seqname,samplename,species,seq,birdname,bandnumber,runname,overallrunname,collectiondate,time,area,site,microsite,sex,age,weight,freshness ,size_of_sample,urine,coccidiosis,captive,collector,ethanol?,captivity,coccidiosis_data
AG0320-183,,flower,nec56,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-184,,flower,nec57,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-185,,flower,nec58,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-186,,flower,nec59,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-187,,flower,nec60,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-188,,flower,nec61,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-189,,flower,nec62,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-190,,flower,nec63,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-191,,flower,nec64,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-192,,flower,nec65,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-193,,flower,nec66,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-194,,flower,nec67,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-195,,flower,nec68,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-196,,flower,nec69,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-197,,flower,nec70,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-198,,flower,nec71,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-199,,flower,nec72,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-200,,flower,nec73,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-201,,flower,nec74,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-202,,flower,nec75,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-203,,flower,nec76,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-204,,flower,nec77,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-205,,flower,nec78,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-206,,flower,nec79,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-207,,flower,nec80,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-208,,flower,nec81,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-209,,flower,nec82,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-210,,flower,nec83,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-211,,flower,nec84,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-212,,flower,nec85,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-213,,flower,nec86,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-214,,flower,nec87,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-215,,flower,nec88,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-216,,flower,nec89,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-217,,flower,nec90,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-218,,flower,nec91,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-219,,flower,nec92,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-220,,flower,nec93,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-221,,flower,nec94,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-222,,flower,ntpl1NC,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-223,,flower,ntpl1NC2,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-224,,flower,nec97,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-225,,flower,nec98,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-226,,flower,nec99,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-227,,flower,nec100,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-228,,flower,nec101,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-229,,flower,nec102,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-230,,flower,nec103,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-231,,flower,nec104,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-232,,flower,nec105,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-233,,flower,nec106,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-234,,flower,nec107,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-235,,flower,nec108,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-236,,flower,nec109,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-237,,flower,nec110,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-238,,flower,nec111,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-239,,flower,nec112,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-240,,flower,nec122,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-241,,flower,nec123,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-242,,flower,nec124,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-243,,flower,nec125,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-244,,flower,nec126,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-245,,flower,nec127,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-246,,flower,nec128,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-247,,flower,nec129,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-248,,flower,nec130,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-249,,flower,nec131,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-250,,flower,nec132,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-251,,flower,nec133,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-252,,flower,nec134,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-253,,flower,nec135,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-254,,flower,nec136,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-255,,flower,nec137,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-256,,flower,nec138,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-257,,flower,nec139,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-258,,flower,nec140,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-259,,flower,nec141,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-260,,flower,nec142,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-261,,flower,nec143,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-262,,flower,nec144,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-263,,flower,nec145,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-264,,flower,nec146,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-265,,flower,nec147,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-266,,flower,nec148,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-267,,flower,nec149,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-268,,flower,nec150,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-269,,flower,nec151,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-270,,flower,nec152,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-271,,flower,nec153,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-272,,flower,nec154,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-273,,flower,nec155,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-274,,flower,nec156,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-275,,flower,nec157,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-276,,flower,nec158,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-277,,flower,nec159,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-278,,flower,nec160,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-279,,flower,nec161,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-280,,flower,nec162,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-281,,flower,nec163,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-282,,flower,nec164,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-283,,flower,nec165,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-284,,flower,nec166,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-285,,flower,nec167,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-286,,flower,nec168,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-287,,flower,nec169,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-288,,flower,nec170,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-289,,flower,nec171,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-290,,flower,nec172,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-291,,flower,nec173,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-292,,flower,nec174,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-293,,flower,nec175,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-294,,flower,nec176,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-295,,flower,nec177,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-296,,flower,nec178,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-297,,flower,nec179,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-298,,flower,nec180,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-299,,flower,nec181,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-300,,flower,nec182,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-301,,flower,nec183,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-302,,flower,nec184,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-303,,flower,nec185,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-304,,flower,nec186,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-305,,flower,nec187,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-306,,flower,nec188,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-307,,flower,nec189,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-308,,flower,nec190,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-309,,flower,nec191,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-310,,flower,nec192,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-311,,flower,nec193,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-312,,flower,nec194,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-313,,flower,nec195,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-314,,flower,nec196,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-315,,flower,nec197,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-316,,flower,nec198,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-317,,flower,nec199,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-318,,flower,ntpl2NC,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-319,,flower,ntpl2NC2,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-320,,flower,nec202,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-321,,flower,nec203,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-322,,flower,nec204,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-323,,flower,nec205,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-324,,flower,nec206,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-325,,flower,nec207,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-326,,flower,nec208,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-327,,flower,nec209,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-328,,flower,nec210,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-329,,flower,nec211,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-330,,flower,nec212,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-331,,flower,nec213,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-332,,flower,nec214,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-333,,flower,nec215,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-334,,flower,nec216,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-335,,flower,nec217,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-336,,flower,nec218,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-337,,flower,nec219,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-338,,flower,nec220,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-339,,flower,nec221,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-340,,flower,nec222,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-341,,flower,nec223,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-342,,flower,nec224,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-343,,flower,nec225,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-344,,flower,nec226,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-345,,flower,nec227,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-346,,flower,nec228,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-347,,flower,nec229,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-348,,flower,nec230,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-349,,flower,nec231,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-350,,flower,nec232,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-351,,flower,nec233,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-352,,flower,nec234,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-353,,flower,nec235,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-354,,flower,nec236,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-355,,flower,nec237,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-356,,flower,nec238,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-357,,flower,nec239,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-358,,flower,nec240,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-359,,flower,nec241,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-360,,flower,nec242,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-361,,flower,nec243,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-362,,flower,nec244,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-363,,flower,nec245,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-364,,flower,nec246,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-365,,flower,nec247,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-366,,flower,nec248,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-367,,flower,nec249,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-368,,flower,nec250,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-369,,flower,nec251,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-370,,flower,nec252,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-371,,flower,nec253,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-372,,flower,nec254,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-373,,flower,nec255,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-374,,flower,nec256,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-375,,flower,nec257,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-376,,flower,nec258,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-377,,flower,nec259,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-378,,flower,nec260,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-379,,flower,nec261,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-380,,flower,nec262,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-381,,flower,nec263,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-382,,flower,nec264,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-383,,flower,nec265,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-384,,flower,nec266,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-385,,flower,nec267,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-386,,flower,nec268,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-387,,flower,nec269,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-388,,flower,nec270,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-389,,flower,nec271,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-390,,flower,nec272,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-391,,flower,nec273,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-392,,flower,nec274,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-393,,flower,nec275,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-394,,flower,nec276,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-395,,flower,nec277,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-396,,flower,nec278,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-397,,flower,nec279,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-398,,flower,nec280,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-399,,flower,nec281,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-400,,flower,nec282,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-401,,flower,nec283,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-402,,flower,nec284,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-403,,flower,nec285,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-404,,flower,nec286,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-405,,flower,nec287,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-406,,flower,nec288,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-407,,flower,nec289,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-408,,flower,nec290,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-409,,flower,nec291,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-410,,flower,nec292,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-411,,flower,nec293,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-412,,flower,nec294,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-413,,flower,nec295,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-414,,flower,ntpl3NC,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-415,,flower,ntpl3NC2,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-416,,flower,nec298,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-417,,flower,nec299,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-418,,flower,nec300,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-419,,flower,nec301,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-420,,flower,nec302,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-421,,flower,nec303,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-422,,flower,nec304,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-423,,flower,nec305,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-424,,flower,nec306,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-425,,flower,nec307,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-426,,flower,nec308,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-427,,flower,nec309,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-428,,flower,nec310,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-429,,flower,nec311,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-430,,flower,nec312,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-431,,flower,nec313,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-432,,flower,nec314,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-433,,flower,nec315,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-434,,flower,nec316,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-435,,flower,nec317,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-436,,flower,nec318,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-437,,flower,nec319,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-438,,flower,nec320,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-439,,flower,nec321,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-440,,flower,nec322,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-441,,flower,nec323,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-442,,flower,nec324,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-443,,flower,nec325,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-444,,flower,nec326,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-445,,flower,nec327,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-446,,flower,nec328,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-447,,flower,nec329,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-448,,flower,nec330,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-449,,flower,nec331,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-450,,flower,nec332,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-451,,flower,nec333,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-452,,flower,nec334,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-453,,flower,nec335,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-454,,flower,nec336,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-455,,flower,nec337,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-456,,flower,nec338,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-457,,flower,nec339,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-458,,flower,nec340,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-459,,flower,nec341,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-460,,flower,nec342,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-461,,flower,nec343,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-462,,flower,nec344,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-463,,flower,nec345,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-464,,flower,nec346,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-465,,flower,nec347,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-466,,flower,nec348,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-467,,flower,nec349,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-468,,flower,nec350,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-469,,flower,nec351,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-470,,flower,nec352,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-471,,flower,nec353,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-472,,flower,nec354,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-473,,flower,nec355,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-474,,flower,nec356,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-475,,flower,nec357,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-476,,flower,nec358,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-477,,flower,nec359,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-478,,flower,nec360,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-479,,flower,nec361,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-480,,flower,nec362,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-481,,flower,nec363,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-482,,flower,nec364,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-483,,flower,nec365,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-484,,flower,nec366,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-485,,flower,nec367,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-486,,flower,nec368,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-487,,flower,nec369,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-488,,flower,nec370,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-489,,flower,nec371,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-490,,flower,nec372,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-491,,flower,nec373,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-492,,flower,nec374,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-493,,flower,nec375,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-494,,flower,nec376,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-495,,flower,nec377,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-496,,flower,nec378,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
AG0320-497,,flower,nec379,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
