samplename,superkingdom,kingdom,subkingdom,phylum,class,subclass,order,suborder,family,subfamily,genus,species
M01895:175:000000000-CJJKT:1:2113:8929:5575__kiwi2019__AG0320-224__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Tremellales,,,,,
M01895:175:000000000-CJJKT:1:2114:9147:24304__kiwi2019__AG0320-627__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Dothideales,,Saccotheciaceae,,Aureobasidium,
M01895:175:000000000-CJJKT:1:1113:11736:20053__kiwi2019__AG0320-421__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Cystofilobasidiales,,Mrakiaceae,,Udeniomyces,
M01895:175:000000000-CJJKT:1:1101:6202:7472__kiwi2019__AG0320-205__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Dothideales,,Dothioraceae,,Hormonema,
M01895:175:000000000-CJJKT:1:1102:10640:4065__kiwi2019__AG0320-705__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Cystofilobasidiales,,Mrakiaceae,,Udeniomyces,Udeniomyces puniceus
M01895:175:000000000-CJJKT:1:1101:16463:8768__kiwi2019__AG0320-687__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,,,,,,,,
M01895:175:000000000-CJJKT:1:1101:11982:27148__kiwi2019__AG0320-393__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Dothideales,,Saccotheciaceae,,Aureobasidium,
M01895:175:000000000-CJJKT:1:1107:27111:19013__kiwi2019__AG0320-047__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Tremellales,,Trimorphomycetaceae,,Saitozyma,Saitozyma podzolica
M01895:175:000000000-CJJKT:1:2105:25008:16853__kiwi2019__AG0320-739__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Dothideales,,,,,
M01895:175:000000000-CJJKT:1:1101:19503:27647__kiwi2019__AG0320-444__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Filobasidiales,,Filobasidiaceae,,Filobasidium,Filobasidium oeirense
