samplename,superkingdom,kingdom,subkingdom,phylum,class,subclass,order,suborder,family,subfamily,genus,species
M01895:175:000000000-CJJKT:1:1102:25304:13134__kiwi2019__AG0320-280__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Tremellales,,,,,
M01895:175:000000000-CJJKT:1:1103:25313:7377__kiwi2019__AG0320-716__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Eurotiomycetes,Eurotiomycetidae,Eurotiales,,Trichocomaceae,,Talaromyces,Talaromyces purpureogenus
M01895:175:000000000-CJJKT:1:1111:13834:19384__kiwi2019__AG0320-854__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Agaricomycetes,,Corticiales,,Corticiaceae,,Limonomyces,Limonomyces culmigenus
M01895:175:000000000-CJJKT:1:1112:16148:21070__kiwi2019__AG0320-114__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycetes,,Pezizales,,Ascodesmidaceae,,Cephaliophora,Cephaliophora tropica
M01895:175:000000000-CJJKT:1:1114:9095:14464__kiwi2019__AG0320-622__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,,,,,,,
M01895:175:000000000-CJJKT:1:2106:10969:12087__kiwi2019__AG0320-114__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Sordariomycetes,Sordariomycetidae,Sordariales,,Chaetomiaceae,,,
M01895:175:000000000-CJJKT:1:2109:25177:12922__kiwi2019__AG0320-176__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,,,,,,
M01895:175:000000000-CJJKT:1:1112:7712:12969__kiwi2019__AG0320-177__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,,,,,,,,
M01895:175:000000000-CJJKT:1:2102:15006:4992__kiwi2019__AG0320-648__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Tremellales,,Bulleribasidiaceae,,Vishniacozyma,Vishniacozyma globospora
M01895:175:000000000-CJJKT:1:2107:5131:20384__kiwi2019__AG0320-735__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,,,,,,,,
M01895:175:000000000-CJJKT:1:2114:4974:15394__kiwi2019__AG0320-075__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Sordariomycetes,Hypocreomycetidae,Hypocreales,,Ophiocordycipitaceae,,Hirsutella,
M01895:175:000000000-CJJKT:1:1103:8011:13804__kiwi2019__AG0320-081__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Didymellaceae,,,
M01895:175:000000000-CJJKT:1:1107:11158:14343__kiwi2019__AG0320-046__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Eurotiomycetes,Eurotiomycetidae,Eurotiales,,Aspergillaceae,,Aspergillus,
M01895:175:000000000-CJJKT:1:2103:19585:13755__kiwi2019__AG0320-180__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Lecanoromycetes,Lecanoromycetidae,Teloschistales,Teloschistineae,Teloschistaceae,Xanthorioideae,,
M01895:175:000000000-CJJKT:1:2106:21098:25840__kiwi2019__AG0320-079__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Eurotiomycetes,Eurotiomycetidae,Eurotiales,,Aspergillaceae,,Penicillium,
M01895:175:000000000-CJJKT:1:2108:14676:5863__kiwi2019__AG0320-092__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Saccharomycetes,,Saccharomycetales,,Trichomonascaceae,,Blastobotrys,
M01895:175:000000000-CJJKT:1:1102:27120:12504__kiwi2019__AG0320-025__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Pleosporomycetidae,Pleosporales,,,,,
M01895:175:000000000-CJJKT:1:1105:21787:6822__kiwi2019__AG0320-702__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Agaricomycetes,,Polyporales,,Phanerochaetaceae,,Hyphodermella,
M01895:175:000000000-CJJKT:1:1111:19736:8702__kiwi2019__AG0320-207__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Eurotiomycetes,Chaetothyriomycetidae,Phaeomoniellales,,,,,
M01895:175:000000000-CJJKT:1:1113:9081:7029__kiwi2019__AG0320-664__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Tremellales,,,,,
M01895:175:000000000-CJJKT:1:2105:20967:6767__kiwi2019__AG0320-006__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Eurotiomycetes,Chaetothyriomycetidae,,,,,,
M01895:175:000000000-CJJKT:1:2111:16432:9433__kiwi2019__AG0320-024__ITS1F,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2112:14917:15213__kiwi2019__AG0320-435__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Capnodiales,,Cladosporiaceae,,Cladosporium,
M01895:175:000000000-CJJKT:1:1101:28630:12217__kiwi2019__AG0320-200__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Cystofilobasidiales,,Cystofilobasidiaceae,,Cystofilobasidium,Cystofilobasidium macerans
M01895:175:000000000-CJJKT:1:1104:12119:14888__kiwi2019__AG0320-663__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Didymellaceae,,Epicoccum,
M01895:175:000000000-CJJKT:1:1104:16988:21249__kiwi2019__AG0320-663__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Cystofilobasidiales,,Mrakiaceae,,Mrakia,Mrakia aquatica
M01895:175:000000000-CJJKT:1:1107:11822:9226__kiwi2019__AG0320-819__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,,,,
M01895:175:000000000-CJJKT:1:1102:24030:18020__kiwi2019__AG0320-431__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Filobasidiales,,Filobasidiaceae,,Filobasidium,Filobasidium wieringae
M01895:175:000000000-CJJKT:1:1109:18530:18177__kiwi2019__AG0320-410__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Tremellales,,,,,
M01895:175:000000000-CJJKT:1:1101:15360:2662__kiwi2019__AG0320-296__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Cystofilobasidiales,,Mrakiaceae,,Udeniomyces,
M01895:175:000000000-CJJKT:1:2102:22078:20734__kiwi2019__AG0320-010__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Agaricomycetes,Agaricomycetidae,Boletales,Suillineae,Rhizopogonaceae,,Rhizopogon,
M01895:175:000000000-CJJKT:1:1101:18722:3106__kiwi2019__AG0320-770__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Taphrinomycetes,,Taphrinales,,Taphrinaceae,,Taphrina,Taphrina sp.
M01895:175:000000000-CJJKT:1:1108:13116:13489__kiwi2019__AG0320-429__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Leptosphaeriaceae,,Sphaerellopsis,
M01895:175:000000000-CJJKT:1:1101:4330:15735__kiwi2019__AG0320-671__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Tremellales,,Bulleribasidiaceae,,Dioszegia,
M01895:175:000000000-CJJKT:1:1101:11645:4620__kiwi2019__AG0320-737__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Dothideales,,Saccotheciaceae,,Aureobasidium,
M01895:175:000000000-CJJKT:1:1104:10090:9139__kiwi2019__AG0320-418__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Microbotryomycetes,,Sporidiobolales,,Sporidiobolaceae,,,
M01895:175:000000000-CJJKT:1:1113:5295:10731__kiwi2019__AG0320-311__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Cystofilobasidiales,,Mrakiaceae,,Itersonilia,Itersonilia pannonica
M01895:175:000000000-CJJKT:1:2111:17600:9878__kiwi2019__AG0320-444__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Tremellales,,Bulleribasidiaceae,,Vishniacozyma,Vishniacozyma victoriae
M01895:175:000000000-CJJKT:1:1104:28401:14974__kiwi2019__AG0320-279__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Tremellales,,Bulleribasidiaceae,,Vishniacozyma,
M01895:175:000000000-CJJKT:1:1110:16517:25281__kiwi2019__AG0320-696__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Didymellaceae,,,
M01895:175:000000000-CJJKT:1:2114:6927:20552__kiwi2019__AG0320-516__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Taphrinomycetes,,Taphrinales,,Taphrinaceae,,Taphrina,
M01895:175:000000000-CJJKT:1:2104:29081:12327__kiwi2019__AG0320-195__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Dothideales,,Saccotheciaceae,,Aureobasidium,
M01895:175:000000000-CJJKT:1:1111:19876:20981__kiwi2019__AG0320-114__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Trichosporonales,,Trichosporonaceae,,Trichosporon,
M01895:175:000000000-CJJKT:1:2103:11243:3968__kiwi2019__AG0320-444__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Tremellales,,,,,
M01895:175:000000000-CJJKT:1:2106:20751:16516__kiwi2019__AG0320-698__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,,,,,,,,
M01895:175:000000000-CJJKT:1:1102:29107:13492__kiwi2019__AG0320-469__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Dothideales,,Dothioraceae,,Hormonema,
M01895:175:000000000-CJJKT:1:1114:6198:14443__kiwi2019__AG0320-434__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Capnodiales,,,,,
M01895:175:000000000-CJJKT:1:1101:13064:23853__kiwi2019__AG0320-693__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,,,,,,,,
M01895:175:000000000-CJJKT:1:2103:8515:23767__kiwi2019__AG0320-207__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Cystofilobasidiales,,Mrakiaceae,,Udeniomyces,Udeniomyces pyricola
M01895:175:000000000-CJJKT:1:2105:14049:5589__kiwi2019__AG0320-246__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Taphrinomycetes,,Taphrinales,,Taphrinaceae,,Taphrina,
M01895:175:000000000-CJJKT:1:2113:13121:4103__kiwi2019__AG0320-664__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Tremellales,,,,,
M01895:175:000000000-CJJKT:1:2102:13676:12622__kiwi2019__AG0320-426__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Tremellales,,,,,
M01895:175:000000000-CJJKT:1:1101:26684:14053__kiwi2019__AG0320-032__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Pleosporomycetidae,Pleosporales,,Sporormiaceae,,Preussia,
M01895:175:000000000-CJJKT:1:1102:20083:28146__kiwi2019__AG0320-126__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Dothideales,,Saccotheciaceae,,Aureobasidium,
M01895:175:000000000-CJJKT:1:1106:2176:13189__kiwi2019__AG0320-712__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Tremellales,,,,,
M01895:175:000000000-CJJKT:1:1111:8851:20298__kiwi2019__AG0320-698__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Cucurbitariaceae,,Neocucurbitaria,
M01895:175:000000000-CJJKT:1:2110:16869:23499__kiwi2019__AG0320-686__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Phaeosphaeriaceae,,Phaeosphaeria,Phaeosphaeria culmorum
M01895:175:000000000-CJJKT:1:1112:22744:9612__kiwi2019__AG0320-700__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Malasseziomycetes,,Malasseziales,,Malasseziaceae,,Malassezia,
M01895:175:000000000-CJJKT:1:1107:12145:18720__kiwi2019__AG0320-704__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Dothideales,,Saccotheciaceae,,Aureobasidium,
M01895:175:000000000-CJJKT:1:1103:18102:13675__kiwi2019__AG0320-215__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Eurotiomycetes,Chaetothyriomycetidae,Chaetothyriales,,,,,
M01895:175:000000000-CJJKT:1:1101:28238:15637__kiwi2019__AG0320-527__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Cystofilobasidiales,,Mrakiaceae,,Phaffia,Phaffia sp. I DP-2012
M01895:175:000000000-CJJKT:1:1111:6948:22883__kiwi2019__AG0320-110__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Dothideales,,Saccotheciaceae,,Aureobasidium,
M01895:175:000000000-CJJKT:1:2110:14853:21330__kiwi2019__AG0320-444__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Cystofilobasidiales,,Cystofilobasidiaceae,,Cystofilobasidium,Cystofilobasidium infirmominiatum
M01895:175:000000000-CJJKT:1:1108:27923:13945__kiwi2019__AG0320-817__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Dothideales,,Saccotheciaceae,,Aureobasidium,
M01895:175:000000000-CJJKT:1:1104:8687:16421__kiwi2019__AG0320-770__ITS1F,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1101:17464:4776__kiwi2019__AG0320-733__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Cystofilobasidiales,,Mrakiaceae,,Tausonia,Tausonia pullulans
M01895:175:000000000-CJJKT:1:1108:15236:11486__kiwi2019__AG0320-737__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Dothideales,,Saccotheciaceae,,Aureobasidium,
M01895:175:000000000-CJJKT:1:1114:21945:10417__kiwi2019__AG0320-782__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Microbotryomycetes,,Sporidiobolales,,Sporidiobolaceae,,Rhodotorula,
M01895:175:000000000-CJJKT:1:2101:17664:24271__kiwi2019__AG0320-705__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Leotiomycetes,,,,,,,
M01895:175:000000000-CJJKT:1:2109:5471:11722__kiwi2019__AG0320-667__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,,,,,,
M01895:175:000000000-CJJKT:1:1109:9108:3675__kiwi2019__AG0320-088__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Malasseziomycetes,,Malasseziales,,Malasseziaceae,,Malassezia,Malassezia globosa
M01895:175:000000000-CJJKT:1:1102:12222:2986__kiwi2019__AG0320-102__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Agaricomycetes,,Polyporales,,,,Fibroporia,Fibroporia vaillantii
M01895:175:000000000-CJJKT:1:1103:23849:7803__kiwi2019__AG0320-744__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Cystobasidiomycetes,,,,,,Buckleyzyma,Buckleyzyma aurantiaca
M01895:175:000000000-CJJKT:1:2101:19051:20120__kiwi2019__AG0320-419__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Tremellales,,,,,
M01895:175:000000000-CJJKT:1:2110:23184:17708__kiwi2019__AG0320-304__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Capnodiales,,Teratosphaeriaceae,,,
M01895:175:000000000-CJJKT:1:2111:26730:13039__kiwi2019__AG0320-729__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Capnodiales,,,,,
M01895:175:000000000-CJJKT:1:2104:12107:3187__kiwi2019__AG0320-240__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Ustilaginomycetes,,Ustilaginales,,Ustilaginaceae,,Farysia,Farysia acheniorum
M01895:175:000000000-CJJKT:1:1101:14412:22116__kiwi2019__AG0320-315__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Taphrinomycetes,,Taphrinales,,Taphrinaceae,,Taphrina,
M01895:175:000000000-CJJKT:1:1113:12033:7111__kiwi2019__AG0320-609__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Sordariomycetes,Hypocreomycetidae,Hypocreales,,Nectriaceae,,Fusarium,
M01895:175:000000000-CJJKT:1:1101:7323:23666__kiwi2019__AG0320-116__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Malasseziomycetes,,Malasseziales,,Malasseziaceae,,Malassezia,Malassezia restricta
M01895:175:000000000-CJJKT:1:1101:13881:7503__kiwi2019__AG0320-600__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Sordariomycetes,Hypocreomycetidae,Hypocreales,,Clavicipitaceae,,Claviceps,Claviceps purpurea
M01895:175:000000000-CJJKT:1:2111:17170:23296__kiwi2019__AG0320-183__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Saccharomycetes,,Saccharomycetales,,,,,
M01895:175:000000000-CJJKT:1:1104:26249:23248__kiwi2019__AG0320-080__ITS1F,Eukaryota,Fungi,,Mucoromycota,,,Mortierellales,,Mortierellaceae,,Mortierella,
M01895:175:000000000-CJJKT:1:2106:6612:13444__kiwi2019__AG0320-619__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Sordariomycetes,Hypocreomycetidae,,,,,,
M01895:175:000000000-CJJKT:1:1107:16968:24767__kiwi2019__AG0320-519__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,,,,,,,
M01895:175:000000000-CJJKT:1:2102:16054:20681__kiwi2019__AG0320-678__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Wallemiomycetes,,Wallemiales,,,,Wallemia,
M01895:175:000000000-CJJKT:1:2113:27712:12370__kiwi2019__AG0320-275__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Ustilaginomycetes,,Ustilaginales,,Ustilaginaceae,,Farysia,
M01895:175:000000000-CJJKT:1:1106:14822:14330__kiwi2019__AG0320-685__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,,,,,,,,
M01895:175:000000000-CJJKT:1:1101:28796:20122__kiwi2019__AG0320-775__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Eurotiomycetes,Eurotiomycetidae,Eurotiales,,,,,
M01895:175:000000000-CJJKT:1:1108:29369:15628__kiwi2019__AG0320-030__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Pleosporomycetidae,Pleosporales,,,,,
M01895:175:000000000-CJJKT:1:2102:14035:24679__kiwi2019__AG0320-011__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,,,
M01895:175:000000000-CJJKT:1:2111:18155:18551__kiwi2019__AG0320-698__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Leotiomycetes,,Helotiales,,Dermateaceae,,Mollisia,Mollisia sp.
M01895:175:000000000-CJJKT:1:1106:25517:25107__kiwi2019__AG0320-529__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Cystofilobasidiales,,Mrakiaceae,,Krasilnikovozyma,Krasilnikovozyma huempii
M01895:175:000000000-CJJKT:1:1101:28936:14370__kiwi2019__AG0320-673__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Capnodiales,,Mycosphaerellaceae,,Ramularia,Ramularia collo-cygni
M01895:175:000000000-CJJKT:1:1112:26119:15262__kiwi2019__AG0320-410__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Dothideales,,,,,
M01895:175:000000000-CJJKT:1:1101:27523:22736__kiwi2019__AG0320-176__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Pleosporomycetidae,Pleosporales,,,,,
M01895:175:000000000-CJJKT:1:1113:8304:13734__kiwi2019__AG0320-327__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,,,,,,,,
M01895:175:000000000-CJJKT:1:1102:24450:10874__kiwi2019__AG0320-419__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Microbotryomycetes,,,,Chrysozymaceae,,Bannozyma,
M01895:175:000000000-CJJKT:1:2109:10097:15764__kiwi2019__AG0320-214__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Eurotiomycetes,Chaetothyriomycetidae,Chaetothyriales,,,,,
M01895:175:000000000-CJJKT:1:2106:24849:20470__kiwi2019__AG0320-762__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Dothideales,,,,,
M01895:175:000000000-CJJKT:1:1107:13057:28641__kiwi2019__AG0320-204__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Eurotiomycetes,Chaetothyriomycetidae,Phaeomoniellales,,,,,
M01895:175:000000000-CJJKT:1:2110:18675:12658__kiwi2019__AG0320-673__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Sordariomycetes,Hypocreomycetidae,Hypocreales,,Cordycipitaceae,,Beauveria,
M01895:175:000000000-CJJKT:1:1101:21797:5653__kiwi2019__AG0320-193__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Dothideales,,Saccotheciaceae,,Aureobasidium,
M01895:175:000000000-CJJKT:1:2104:11411:5086__kiwi2019__AG0320-769__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Tremellales,,Bulleribasidiaceae,,Dioszegia,Dioszegia fristingensis
M01895:175:000000000-CJJKT:1:1103:8453:17333__kiwi2019__AG0320-440__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Tremellales,,Bulleribasidiaceae,,Dioszegia,Dioszegia hungarica
M01895:175:000000000-CJJKT:1:2112:16574:14101__kiwi2019__AG0320-731__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Leotiomycetes,,,,,,,
M01895:175:000000000-CJJKT:1:2111:13877:3860__kiwi2019__AG0320-229__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Dothideales,,Saccotheciaceae,,Aureobasidium,
M01895:175:000000000-CJJKT:1:1113:14494:23220__kiwi2019__AG0320-769__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Arthoniomycetes,,Lichenostigmatales,,Phaeococcomycetaceae,,Phaeococcomyces,
M01895:175:000000000-CJJKT:1:2111:17680:21999__kiwi2019__AG0320-735__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Tremellales,,,,,
M01895:175:000000000-CJJKT:1:2114:19236:8456__kiwi2019__AG0320-709__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Dothideales,,Saccotheciaceae,,Aureobasidium,
M01895:175:000000000-CJJKT:1:1112:23235:8804__kiwi2019__AG0320-667__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Sordariomycetes,Hypocreomycetidae,Hypocreales,,,,,
M01895:175:000000000-CJJKT:1:2104:18348:26247__kiwi2019__AG0320-075__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Exobasidiomycetes,,Exobasidiales,,Exobasidiaceae,,Exobasidium,
M01895:175:000000000-CJJKT:1:1101:19256:4276__kiwi2019__AG0320-081__ITS1F,Eukaryota,Fungi,,Mucoromycota,,,Mortierellales,,Mortierellaceae,,Mortierella,
M01895:175:000000000-CJJKT:1:1111:20229:27622__kiwi2019__AG0320-795__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,,,,,,,Retiarius,
M01895:175:000000000-CJJKT:1:1109:27591:11918__kiwi2019__AG0320-698__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Sordariomycetes,Xylariomycetidae,Xylariales,,Sporocadaceae,,Pestalotiopsis,
M01895:175:000000000-CJJKT:1:1110:19778:17619__kiwi2019__AG0320-527__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Microbotryomycetes,,,,,,Curvibasidium,
M01895:175:000000000-CJJKT:1:1109:18663:21608__kiwi2019__AG0320-770__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,,,,,,,,
M01895:175:000000000-CJJKT:1:1105:22275:21521__kiwi2019__AG0320-232__ITS1F,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1109:19313:9321__kiwi2019__AG0320-006__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Eurotiomycetes,Eurotiomycetidae,Eurotiales,,Aspergillaceae,,Penicillium,
M01895:175:000000000-CJJKT:1:1103:11738:10281__kiwi2019__AG0320-782__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Agaricomycetes,,Polyporales,,Polyporaceae,,Trametes,Trametes versicolor
M01895:175:000000000-CJJKT:1:1106:13591:1890__kiwi2019__AG0320-142__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Trichosporonales,,Trichosporonaceae,,Trichosporon,
M01895:175:000000000-CJJKT:1:1114:10314:21405__kiwi2019__AG0320-527__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Taphrinomycetes,,Taphrinales,,Taphrinaceae,,Taphrina,
M01895:175:000000000-CJJKT:1:2108:10293:15079__kiwi2019__AG0320-619__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Ustilaginomycetes,,Ustilaginales,,Ustilaginaceae,,Farysia,Farysia acheniorum
M01895:175:000000000-CJJKT:1:1107:13121:28328__kiwi2019__AG0320-081__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Trichosporonales,,Trichosporonaceae,,,
M01895:175:000000000-CJJKT:1:2104:15512:26208__kiwi2019__AG0320-700__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,,,,,,,,
M01895:175:000000000-CJJKT:1:1107:10398:20580__kiwi2019__AG0320-032__ITS1F,Eukaryota,Fungi,Dikarya,Basidiomycota,Agaricomycetes,,Trechisporales,,Hydnodontaceae,,Trechispora,
M01895:175:000000000-CJJKT:1:1114:15801:7562__kiwi2019__AG0320-190__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,Lecanoromycetes,Lecanoromycetidae,Lecanorales,Lecanorineae,Parmeliaceae,,,
M01895:175:000000000-CJJKT:1:2104:25402:24132__kiwi2019__AG0320-663__ITS1F,Eukaryota,Fungi,Dikarya,Ascomycota,,,,,,,,
